,date,open,close,high,low,volume,code
302,2018-03-30,5.554,5.544,5.563,5.506,45761.0,600642
303,2018-04-02,5.534,5.554,5.573,5.515,54283.0,600642
304,2018-04-03,5.525,5.486,5.534,5.467,65843.0,600642
305,2018-04-04,5.486,5.457,5.515,5.448,65762.0,600642
306,2018-04-09,5.429,5.448,5.486,5.419,67762.0,600642
307,2018-04-10,5.429,5.477,5.486,5.429,66971.0,600642
308,2018-04-11,5.486,5.486,5.515,5.477,68461.0,600642
309,2018-04-12,5.486,5.438,5.496,5.429,77782.0,600642
310,2018-04-13,5.448,5.429,5.467,5.419,64215.0,600642
311,2018-04-16,5.419,5.371,5.438,5.371,96509.0,600642
312,2018-04-17,5.39,5.361,5.409,5.342,82918.0,600642
313,2018-04-18,5.371,5.371,5.39,5.323,98151.0,600642
314,2018-04-19,5.361,5.371,5.39,5.342,52753.0,600642
315,2018-04-20,5.361,5.284,5.38,5.275,91732.0,600642
316,2018-04-23,5.284,5.275,5.303,5.236,59828.0,600642
317,2018-04-24,5.284,5.332,5.361,5.275,46411.0,600642
318,2018-04-25,5.332,5.332,5.361,5.313,34753.0,600642
319,2018-04-26,5.342,5.246,5.342,5.236,54391.0,600642
320,2018-04-27,5.255,5.284,5.284,5.246,47930.0,600642
321,2018-05-02,5.284,5.265,5.313,5.246,96972.0,600642
322,2018-05-03,5.265,5.323,5.332,5.255,92800.0,600642
323,2018-05-04,5.323,5.303,5.332,5.294,44894.0,600642
324,2018-05-07,5.303,5.332,5.342,5.294,69426.0,600642
325,2018-05-08,5.332,5.323,5.332,5.294,85186.0,600642
326,2018-05-09,5.323,5.313,5.332,5.294,74399.0,600642
327,2018-05-10,5.313,5.303,5.332,5.294,72942.0,600642
328,2018-05-11,5.313,5.303,5.323,5.294,59345.0,600642
329,2018-05-14,5.313,5.294,5.323,5.284,65394.0,600642
330,2018-05-15,5.313,5.313,5.313,5.284,71551.0,600642
331,2018-05-16,5.313,5.323,5.332,5.303,98551.0,600642
332,2018-05-17,5.323,5.313,5.342,5.294,66194.0,600642
333,2018-05-18,5.313,5.39,5.409,5.303,177201.0,600642
334,2018-05-21,5.409,5.39,5.438,5.371,126393.0,600642
335,2018-05-22,5.38,5.419,5.429,5.38,83651.0,600642
336,2018-05-23,5.4,5.429,5.496,5.38,205987.0,600642
337,2018-05-24,5.409,5.4,5.438,5.39,94904.0,600642
338,2018-05-25,5.4,5.323,5.419,5.303,101654.0,600642
339,2018-05-28,5.323,5.303,5.342,5.294,76646.0,600642
340,2018-05-29,5.303,5.303,5.323,5.284,46641.0,600642
341,2018-05-30,5.275,5.159,5.275,5.13,143825.0,600642
